5404,3448,Details of the Funds,0.0,L&G 1 Prospectus,7;;;;;;;;;;;
5405,5431,3,0.0,L&G 1 Prospectus,7;;;;;;;;;;;
5406,6763,VAT: value added tax.,0.0,L&G 1 Prospectus,7;;;;;;;;;;;
5407,6914,VAR: value-at-risk; and,0.0,L&G 1 Prospectus,7;;;;;;;;;;
"5408,8765,""The  head  office  of  each  Fund  is  at  One  Coleman Street,  London  EC2R  5AA.    The  date  on  which  each  of  the  Funds  received  authorisation from  the  FCA  and  the  PRN  for  each  Fund  is  set  out  in  Appendix  A.  The  Manager  is authorised  and  regulated  in  the  United  Kingdom  by  the  FCA  whose  address  is  12 Endeavour  Square,  London E20 1JN.   Each Fund  will  be  invested in accordance  with this Prospectus  and  the  provisions  of  the  COLL  Sourcebook  applicable  to  a  “UCITS  scheme”. Subject to the terms set out in this Prospectus, holders of Units in each Fund are entitled to receive  (or  have  accumulated)  the  net  income  derived  from  the  relevant  Fund  and  to redeem  their  Units  at  a  price  linked  to  the  value  of  the  property  of  the  relevant  Fund."",0.0,L&G 1 Prospectus,7";;;;;;;;;;;
5409,9878,UCITS: Undertakings for Collective Investment in Transferable Securities;,0.0,L&G 1 Prospectus,7;;;;;;;;;;
5410,10241,PRN: the product reference number assigned by the FCA to identify each authorised fund;,0.0,L&G 1 Prospectus,7;;;;;;;;;;
5411,11431,OECD: the Organisation for Economic Co-operation and Development;,0.0,L&G 1 Prospectus,7;;;;;;;;;;
5412,12184,The expression also  includes any person falling within  the  definition  of  the  term  “U.S.  Person”  under  Regulation  S  promulgated  under  the United States Securities Act of 1933;,0.0,L&G 1 Prospectus,7;;;;;;;;;;
5413,12666,Valuation  Point:  the  valuation  point  for  each  Fund  as  set  out  in  Appendix  A  of  this Prospectus;,0.0,L&G 1 Prospectus,7;;;;;;;;;;
5414,13062,Unitholders  do  not  have  any  proprietary  interest  in  the  underlying  assets  of  a  Fund.,0.0,L&G 1 Prospectus,7;;;;;;;;;;;
5415,13175,Unitholder: a holder of registered Units in a Fund;,0.0,L&G 1 Prospectus,7;;;;;;;;;;
5416,13848,Registrar:  Legal  &  General  (Unit  Trust  Managers)  Limited  or  such  other  entity  as  is appointed by the Manager to act as registrar for the Funds from time to time;,0.0,L&G 1 Prospectus,7;;;;;;;;;;
5417,14532,2,0.0,L&G 1 Prospectus,7;;;;;;;;;;;
5418,17891,The PRA: The Prudential Regulation Authority;,0.0,L&G 1 Prospectus,7;;;;;;;;;;
5419,21356,SDRT: Stamp Duty Reserve Tax;,0.0,L&G 1 Prospectus,7;;;;;;;;;;
"5420,21467,""Trustee: Northern Trust Global Services SE, who will also act as Depositary, or such other entity as is appointed to act as Trustee";",0.0,L&G 1 Prospectus,7
5421,772,4,0.0,L&G 1 Prospectus,8
5422,898,This  requires  all  directors  to  disclose  any  interests, connected  persons  and  potential  related  party  relationships."",0.0,L&G 1 Prospectus,8";;;;;;;;;;
5423,918,4.2,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
"5424,1074,""The  Manager  also  carries  out  the  customer  service  function  for  individual  investors,  the promotion, marketing and sales functions."",0.0,L&G 1 Prospectus,8";;;;;;;;;;;
5425,1978,The  following  director  holds external directorships: A. R. Toutounchi.,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
"5426,2862,""As at the date of this Prospectus, the amount of the Manager’s authorised share capital is £26.5 million ordinary £1 shares of which £15 million is allotted and fully paid up."",0.0,L&G 1 Prospectus,8";;;;;;;;;;;
5427,3103,The directors of the Manager are as follows:,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
"5428,3281,""The manager of each of the Funds is Legal & General (Unit Trust Managers) Limited, which is  a  limited  company  incorporated  in  England  and Wales  on  28  April  1971  with  registered number 01009418.  The head office and registered office of the Manager are set out in the Directory."",0.0,L&G 1 Prospectus,8";;;;;;;;;;;
5429,4650,On an annual basis the conflicts of interest register for directors within the Legal & General Group  are  reviewed  and  updated.,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5430,5255,A  detailed  statement  of  the  general  investment  and  borrowing  powers  in  respect  of  the Funds is set out in Appendix B.,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5431,6857,A. J. C. Craven S. A. Hynes  H. L. Morrissey  H. J. E. Solomon L. W. Toms  A. R. Toutounchi  M. J. Zinkula (also a director of Legal & General Investment Management Limited),0.0,L&G 1 Prospectus,8;;;;;;;;;;;
"5432,6936,""The rules in the FCA Handbook regarding remuneration have been implemented primarily to ensure  that  relevant  members  of  staff  are  not  incentivised,  by  way  of  their  remuneration package,  to  take  excessive  risks  when  managing  funds."",0.0,L&G 1 Prospectus,8";;;;;;;;;;;
5433,7637,Managers remuneration policy,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5434,7664,Investment objective and policy,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5435,8104,The  eligible  securities  markets  and  eligible  derivatives  markets  on  which  the  Funds  may invest are set out in Appendix C.,1.0,L&G 1 Prospectus,8;;;;;;;;;;;
5436,8902,3.3,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5437,9281,The  fees  to  which  the  Manager  is  entitled  in  respect  of each Fund are included within the Fund Management Fee.,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5438,9520,Investment  of  the  assets  of  each  Fund  must  comply  with  the  COLL  Sourcebook  and  the investment objective and policy of that Fund.,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5439,12229,4.5,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5440,12380,4.6,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5441,12856,4.4,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5442,13190,4,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5443,13211,The  Manager  has  approved  and adopted  a  remuneration  policy  (the  “Remuneration  Policy”)  which  explains  how  the,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5444,13758,The Manager also acts as manager of the authorised unit trusts and as authorised corporate director of the open-ended investment companies set out in Appendix F.,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
"5445,13983,""The operation of each Fund is governed by the COLL Sourcebook, its Trust Deed and this Prospectus."",0.0,L&G 1 Prospectus,8";;;;;;;;;;;
5446,14296,The ultimate holding company of the Manager is Legal & General Group Plc.,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5447,14931,3.1,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5448,14980,2.2,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5449,15149,The base currency of each Fund is Pounds Sterling.,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5450,15225,3.2,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5451,15521,The Manager may  delegate  its  management  and  administration  functions  to  third  parties  including Associates subject to the rules in the COLL Sourcebook.,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5452,15638,2.3,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5453,16626,3,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
"5454,17217,""Details of each Fund, including its investment objective and policy, are set out in Appendix A."",0.0,L&G 1 Prospectus,8";;;;;;;;;;;
5455,20518,The  Manager  is  under  no  obligation  to  account  to  the  Trustee  of  a  Fund  or  to  the Unitholders of a Fund for any profit it makes on the issue or reissue of Units or cancellation of  Units  which  it  has  redeemed.,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5456,20689,4.3,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5457,21197,4.1,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5458,21375,The Manager,0.0,L&G 1 Prospectus,8;;;;;;;;;;;
5459,1761,The  Manager  may  delegate  its  management  and  administration  functions  to third parties including Associates subject to the rules in the COLL Sourcebook.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5460,2233,The principal business activity of the Depositary is the provision of trustee and depositary services.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
"5461,2495,""Its registered office is at 6 rue Lou Hemmer, L-1748 Senningerberg, Grand-Duché de Luxembourg."",0.0,L&G 1 Prospectus,9";;;;;;;;;;;
5462,3121,5.4,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5463,3291,The Investment Manager is a member of the Legal & General group of companies.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5464,3651,6.3,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5465,5620,Its  UK  branch  is  authorised  by  the  Prudential  Regulation  Authority  and  regulated  by  the Financial  Conduct  Authority  and  Prudential  Regulation  Authority.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5466,5921,the,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5467,6464,Legal  &  General  Investment  Management  Limited  is  a  limited  company  incorporated  in England and Wales on 21 January 1987 with registered number 02091894.  The registered office and head office of the Investment Manager is set out in the Directory.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
"5468,6552,""Its  principal  place  of business is at 50 Bank Street, London E14 5NT, United Kingdom."",0.0,L&G 1 Prospectus,9";;;;;;;;;;;
5469,6719,Manager complies with the FCA Handbook and which staff are covered.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5470,7426,5.5.3,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5471,7552,Investment  Manager  was  appointed  pursuant,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5472,8149,5.1,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5473,8484,6.4,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5474,8643,5,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5475,9249,Terms of appointment,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5476,9907,to,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5477,10656,5.3,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5478,11010,5.2,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5479,11107,The Management Agreement.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5480,11113,6.1,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5481,11171,6,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5482,11810,The principal activity of the Investment Manager is the provision of investment management services.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5483,11855,6.2,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5484,12018,The  Investment  Management  Agreement may  be  terminated  by  not  less  than six  month’s  written  notice  or  immediately  in  certain  circumstances.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5485,12093,A summary of the Remuneration Policy is attached at Appendix H.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
"5486,12306,""The  Trustee  and  Depositary  is  responsible  for  the  safekeeping  of  all  the  property  of  each Fund  and  has  a  duty  to  take  reasonable  care  to  ensure  that  each  Fund  is  managed  in accordance  with  the  provisions  of  the  COLL  Sourcebook  relating  to  the  pricing  of,  and dealing in, Units and relating to the income and the investment and borrowing powers of the Funds."",0.0,L&G 1 Prospectus,9";;;;;;;;;;;
"5487,13917,""Subject  to  appropriate controls imposed by  the Manager, all relevant law and regulation, this Prospectus and the Trust Deeds, and further instructions given by  the  Manager,  the  Investment  Manager  has  discretion  to  take  day  to  day investment  decisions  and  to  deal  in  investments  in  relation  to  the  investment management of each of the Funds, without prior reference to the Manager."",0.0,L&G 1 Prospectus,9";;;;;;;;;;;
5488,14472,5.5,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5489,14785,It  is  subject  to  supervision  by  the  European  Central  Bank  and  the Luxembourg Commission de Surveillance du Secteur Financier.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
"5490,16158,""The Depositary’s ultimate holding company is Northern Trust Corporation, a company which is incorporated in the State of Delaware, United States of America, with its headquarters at 50 South La Salle Street, Chicago, Illinois."",0.0,L&G 1 Prospectus,9";;;;;;;;;;;
5491,16233,Investment Manager,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5492,16681,5.5.2,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
"5493,17917,""The Depositary is also responsible for monitoring the cash flows of the Funds, and must  ensure  that  certain  processes  carried  out  by  the  Manager  are  performed  in accordance with the FCA Handbook, this Prospectus and the Trust Deeds."",0.0,L&G 1 Prospectus,9";;;;;;;;;;;
"5494,18371,""The  Trustee  and  Depositary  is  Northern  Trust  Global  Services  SE,  an  authorised  credit institution in Luxembourg under Chapter 1 of Part 1 of the Luxembourg law of 5 April 1993 on  the  financial  sector."",0.0,L&G 1 Prospectus,9";;;;;;;;;;;
5495,18891,Investment,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
"5496,20071,""The Investment  Manager  is  entitled  to  a  fee  paid  out  of  the  “Fund  Management Fee”, as explained in section 15.5 below."",0.0,L&G 1 Prospectus,9";;;;;;;;;;;
5497,20858,5,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5498,20905,The  Manager  has  appointed  Legal  &  General  Investment  Management  Limited  to  provide investment management and distribution services to the Manager.,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5499,21192,5.5.1,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5500,21426,5.5.4,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
5501,21692,The Trustee and Depositary,0.0,L&G 1 Prospectus,9;;;;;;;;;;;
"5502,256,""The  Trustee  delegates  the  custody  of  Scheme  Property  of  all  Funds  to  The Northern  Trust  Company,  London  Branch."",0.0,L&G 1 Prospectus,10";;;;;;;;;;;
"5503,277,""It  has  delegated  custody  services  to The Northern Trust Company, London Branch (the “Custodian”)."",0.0,L&G 1 Prospectus,10";;;;;;;;;;;
"5504,2194,""The Trustee and the Depositary are entitled to receive remuneration out of the Scheme  Property  of  each  Fund  for  its  services,  and  such  fees  are  included within the Fund Management Fee as set out in section 15.5 of this Prospectus."",0.0,L&G 1 Prospectus,10";;;;;;;;;;;
5505,2301,6.5.6,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
"5506,3262,""Up to date information regarding (i) the Depositary’s name, (ii) the description of its duties and any conflicts of interest that may arise between the Fund, the Unitholders  or  the  Fund  and  the  Depositary,  and  (iii)  the  description  of  any safekeeping  functions  delegated  by  the  Depositary,  the  description  of  any"",0.0,L&G 1 Prospectus,10";;;;;;;;;;;
5507,3431,6.6.4,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5508,3514,6.5.1,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5509,3563,6.6,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5510,3762,Conflicts of interest,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5511,3878,the  Manager  and,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5512,4645,6.6.1,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
"5513,6087,""The Manager has delegated a number of administrative functions to Northern Trust  Global  Services  SE,  including  fund  accounting  and  valuation  services."",0.0,L&G 1 Prospectus,10";;;;;;;;;;;
5514,6138,6.5,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5515,7002,6.6.2,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
"5516,7106,""It is possible that the Depositary and/or its delegates and sub-delegates may in the  course  of  its  or  their  business  be  involved  in  other  financial  and professional  activities  which  may  on  occasion  have  potential  conflicts  of interest  with  the Funds and/or other funds managed  by  the Manager  or other funds  for  which  the  Depositary  acts  as  the  depositary,  trustee  or  custodian."",0.0,L&G 1 Prospectus,10";;;;;;;;;;;
5517,7510,A list of sub-custodians is given in  Appendix  G.  Investors  should  note  that  the  list  of  sub-custodians  in  the Prospectus  is  updated  only  at  each  Prospectus  review.,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
"5518,7708,""The Trustee is under no obligation to account to the Manager, the Trusts or the Unitholders  for  any  profits  or  benefits  it  makes  or  receives  that  are  made  or derived from or in connection with its role as trustee."",0.0,L&G 1 Prospectus,10";;;;;;;;;;;
5519,7859,The  Depositary  Agreement  contains  provisions  indemnifying  the  Depositary and limiting the liability of the Depositary in certain circumstances.,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5520,9367,The  Depositary  may  act  as  the  depositary  of  other  open-ended  investment companies and as trustee or custodian of other collective investment schemes.,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5521,9489,Terms of appointment,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5522,9595,6.5.3,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5523,10198,The  Depositary  may  not  retire voluntarily except on the appointment of a new depositary.,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5524,10385,6.6.3,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5525,10879,6.5.2,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5526,11376,6.5.5,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5527,14340,The  Custodian  has  sub-delegated  custody  services  to  sub-custodians  in certain markets in which the Funds may invest.,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
"5528,14377,""Its  registered  and  head  office  is  at 50 Bank Street, Canary Wharf, London."",0.0,L&G 1 Prospectus,10";;;;;;;;;;;
5529,14446,6.5.4,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5530,14846,functionally  and  hierarchically Northern  Trust  Global  Services  SE  has separated  the  performance  of  its  Trustee  and  depositary  functions  from  the administration tasks delegated to it by the manager.,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
"5531,15101,""Subject  to  the  UCITS  regulations,  the  Depositary  has  full  power  under  the Depositary Agreement to delegate (and authorise its delegate to sub-delegate) certain  parts  of  its  duties  as  Depositary."",0.0,L&G 1 Prospectus,10";;;;;;;;;;;
5532,15655,E14 5NT.,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5533,16056,6,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5534,16133,An  up  to  date  list  of sub-custodians is maintained by the Manager and is available on request.,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
5535,18088,The  appointment  of  the  Trustee  as  Depositary  has  been  made  under  an agreement  between the  Trustee  (the  “Depositary Agreement”).  The  Depositary  Agreement  is  terminable  on  receipt  of  six months’  written  notice  given  by  either  party.,0.0,L&G 1 Prospectus,10;;;;;;;;;;;
"5536,19637,""The  Depositary  will,  however,  have  regard  in  such  event  to  its  obligations under  the  Trust  Deed,  the  Depositary  Agreement  and  the  UCITS  regulations and,  in  particular,  will  use  reasonable  endeavours  to  ensure  that  the performance of its duties will not be impaired by any such involvement it may have  and  that  any  conflicts  which  may  arise  will  be  resolved  fairly  and  in  the best interests of Unitholders collectively so far as practicable, having regard to its obligations to other clients."",0.0,L&G 1 Prospectus,10";;;;;;;;;;;
"5537,1769,""In this regard, the Investment Manager will discharge the charges relating to investment research which is or may be used by the Investment Manager in managing the assets of the Fund out of its own resources."",0.0,L&G 1 Prospectus,11";;;;;;;;;;;
5538,2647,7.1,0.0,L&G 1 Prospectus,11;;;;;;;;;;;
5539,4907,7.3,0.0,L&G 1 Prospectus,11;;;;;;;;;;;
"5540,7325,""The  Investment  Manager  may  only  receive  third-party  investment  research,  provided  it  is received on such basis that it does not contravene MiFID or the rules of the FCA and is of a scale and nature such that they could not be judged to impair their compliance with its duty to act honestly, fairly and professionally in the best interests of each Fund."",1.0,L&G 1 Prospectus,11";;;;;;;;;;;
5541,8721,7,0.0,L&G 1 Prospectus,11;;;;;;;;;;;
5542,10691,7.2,0.0,L&G 1 Prospectus,11;;;;;;;;;;;
5543,10997,Inducements,0.0,L&G 1 Prospectus,11;;;;;;;;;;;
"5544,11610,""In accordance with its obligations under MiFID, the Investment Manager shall return to the relevant Fund any fees, commissions or other monetary benefits paid or provided by a third party  in  relation  to  the  investment  management  services  provided  by  the  Investment Manager  to  the  Fund  as  soon  as  reasonably  possible  after  receipt,  and  disclose  in  the annual report the fees, commissions or any monetary benefits transferred to them."",0.0,L&G 1 Prospectus,11";;;;;;;;;;;
5545,14070,Soft Commissions,0.0,L&G 1 Prospectus,11;;;;;;;;;;;
"5546,14160,""The Investment Manager shall however be permitted to retain minor non-monetary benefits received  from  third  parties  where  the  benefits  are  such  that  they  could  not  impair  the Investment Manager from complying with its obligation to act in the best interests of a Fund, provided they are disclosed to the Fund prior to the provisions of investment management services by that entity."",0.0,L&G 1 Prospectus,11";;;;;;;;;;;
5547,14849,Inducements and Soft Commissions,0.0,L&G 1 Prospectus,11;;;;;;;;;;;
"5548,14874,""The  Manager  is  subject  to  inducement  rules  set  out  in  the  UCITS  Directive  pursuant  to which  it  will  not  be  regarded  as  acting  honestly,  fairly  and  in  accordance  with  the  best interests of the Fund or its Unitholders if, in relation to the activities performed when carrying out its functions it pays or is paid any fee or commission, or provides or is provided with any non-monetary  benefit,  other  than  those  permitted  in  the  UCITS  Directive  e.g.  a  fee, commission or non-monetary benefit paid by or on behalf of a third party where the Manager can demonstrate (i) the existence, nature and amount of the fee, commission or benefit and (ii) the payment of the fee or commission, or the provision of the non-monetary benefit are designed to enhance the quality of the relevant service and not impair compliance with the Manager’s duty to act in the best interests of each Fund or its Unitholders."",0.0,L&G 1 Prospectus,11";;;;;;;;;;;
"5549,14894,""conflicts  of  interest  that  may  arise  from  such  delegation,  and  the  list  showing the  identity  of  each  delegate  and  sub-delegate,  will  be  made  available  to Unitholders on request."",0.0,L&G 1 Prospectus,11";;;;;;;;;;;
5550,15108,7,0.0,L&G 1 Prospectus,11;;;;;;;;;;;
5551,16179,Investment  research  will  not  constitute  an  inducement  under  MiFID  where  it  is  paid  for  by the Investment Manager itself out of its own resources or out of a research payment account funded by a specific research charge to the applicable Fund.,0.0,L&G 1 Prospectus,11;;;;;;;;;;;
"5552,20180,""In  particular,  where  the  Investment  Manager  successfully  negotiates  the  recapture  of  a portion of the commissions charged by brokers or dealers in connection with the purchase and/or sale of securities, permitted derivative instruments or techniques and instruments for a Fund, the rebated commission shall be paid to the relevant Fund."",1.0,L&G 1 Prospectus,11";;;;;;;;;;;
5553,20805,MiFID Authorised Investment Managers,0.0,L&G 1 Prospectus,11;;;;;;;;;;;
"5554,20867,""The Manager or any non-MiFID authorised investment manager, its delegates or connected persons  of  the  non-MiFID  authorised  investment  manager  may  not  retain  cash  or  other rebates but may receive, and are entitled to retain, research products and services (known as  soft  dollar  benefits)  from  brokers  and  other  persons  through  whom  investment transactions are carried out (“brokers”) which are of demonstrable benefit to the Unitholders (as may be permitted under applicable rules and regulations) and where such arrangements are  made  on  best  execution  terms  and  brokerage  rates  are  not  in  excess  of  customary institutional full-service brokerage rates and the services provided must be of a type which assist in the provision of investment services to each Fund."",0.0,L&G 1 Prospectus,11";;;;;;;;;;;
5555,687,10.1.6,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5556,1954,8.1,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5557,2008,Further Classes of Units may be established from time to time by the Manager with  the  agreement of the  Trustee and in accordance with the Trust Deed for the relevant Fund and the COLL Sourcebook.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5558,2478,Classes  of  Units  are distinguished by their criteria for subscription and fee structure - see Appendix A.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5559,3183,A Unit holding may include a fraction of a Unit.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5560,3471,10.1.8,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5561,3824,10.1.4,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
"5562,4097,""On the introduction of any new Class,  either  a  revised  prospectus  or  a  supplemental  prospectus  will  be prepared, setting out the details of each Class."",0.0,L&G 1 Prospectus,12";;;;;;;;;;;
5563,6125,10.1.3,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
"5564,6700,""Details  of  the  Classes  of  Unit  currently  available  in  respect  of investment, each  Fund, subscription  and requirements  and  minimum  subsequent investment  and  holding  requirements  and  charging  structure,  are  set  out  in Appendix A."",0.0,L&G 1 Prospectus,12";;;;;;;;;;;
5565,7397,The rights represented by Units are those of a beneficial interest under a trust.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5566,8137,8,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5567,8214,10.1.5,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5568,8238,10.1.7,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5569,9027,8.3,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5570,9563,10.1.1,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5571,9710,The  Funds  may  issue  different  Classes  of  Units.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5572,9741,The Manager has responsibility for the maintenance of the Register for each of the Funds.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5573,9883,The  Registrar’s  fee  is  included  within  the  Fund  Management  Fee  as  set  out  in  this Prospectus.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5574,10506,including  details  of redemption,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5575,11097,The  fund  valuation  and  unit  trust  accounting  functions  for  all  Funds  are  outsourced  to Northern  Trust  Global  Services  SE.  The  fees  for  carrying  out  these  functions  are  included within the Fund Management Fee as set out in section 15.5 of this Prospectus.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
"5576,11238,""Where  the  Funds  have  different  Classes,  each  Class  may  attract  different charges  and  so  monies  may  be  deducted  from  the  Scheme  Property attributable  to  such  Classes  in  unequal  proportions."",0.0,L&G 1 Prospectus,12";;;;;;;;;;;
5577,12046,Valuation and trust accounting agents,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5578,12276,their  eligibility  criteria,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5579,13708,10,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5580,14246,The Trust Deed for each of the Funds permits Units to be issued in a variety of Classes.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
"5581,14753,""The  Funds  may income  and  accumulation  Units,  although  not necessarily  both  income  and  accumulation  Units  are  currently  in  issue  for every  Fund."",0.0,L&G 1 Prospectus,12";;;;;;;;;;;
5582,15167,Any income arising in respect of an accumulation Unit is automatically accumulated back into the Fund and is reflected in the price of each accumulation Unit.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5583,15718,Holders  of  income  Units  are  entitled  to  be  paid  the  distributable  income attributed to such Units on any relevant interim and annual allocation dates.,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
"5584,15963,""The  Register  for  each  Fund  is  kept  at  Legal  &  General  (Unit  Trust  Managers)  Limited, Customer Services Centre, Brunel House, 2 Fitzalan Road, Cardiff CF24 0EB and may be inspected  during  normal  business  hours  by  any  Unitholder  or  any  Unitholder’s  duly authorised agent."",0.0,L&G 1 Prospectus,12";;;;;;;;;;;
5585,16312,9,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5586,16376,Unit Classes,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5587,16703,10.1,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5588,16873,for,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5589,17277,issue,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5590,18605,8.2,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5591,19626,8,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
"5592,19676,""Classes of Unit  are differentiated  by their charging structures, entry and  redemption  requirements  and  minimum  subsequent  investment  and holding requirements."",0.0,L&G 1 Prospectus,12";;;;;;;;;;;
5593,19908,Registrar and register of Unitholders,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
"5594,20159,""In  these  circumstances, the proportionate interests of the Classes will be adjusted accordingly."",0.0,L&G 1 Prospectus,12";;;;;;;;;;;
5595,20831,Unit Classes,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
5596,21217,10.1.2,0.0,L&G 1 Prospectus,12;;;;;;;;;;;
